Group,Day,V,D,E,N
PBS,6,NA,NA,NA,158.9365
PBS,6,NA,NA,NA,614.6425
PBS,6,NA,NA,NA,595.8496
PBS,6,NA,NA,NA,98.24787
PBS,6,NA,NA,NA,65.11805
RSV,6,NA,NA,NA,4277.198
RSV,6,NA,NA,NA,1092.741
RSV,6,NA,NA,NA,2839.932
RSV,6,NA,NA,NA,2066.329
RSV,6,NA,NA,NA,900.1825
RSV,6,NA,NA,NA,1062.488
PBS,16,NA,NA,NA,124.8797
PBS,16,NA,NA,NA,2464.45
PBS,16,NA,NA,NA,128.257
PBS,16,NA,NA,NA,28.88457
RSV,16,NA,NA,NA,4949.916
RSV,16,NA,NA,NA,5680.218
RSV,16,NA,NA,NA,5490.752
RSV,16,NA,NA,NA,1554.34
RSV,16,NA,NA,NA,4059.019
PBS,20,NA,13928.27,172474.3355,22090.94635
PBS,20,NA,39865.04,99010.47992,700.5120702
PBS,20,NA,15501.01,131438.9737,520.677547
PBS,20,NA,22769.35,103359.5698,3717.290733
PBS,20,NA,36033.66,293134.9016,5432.171254
PBS,20,NA,33315.25,156484.3509,264.9274705
PBS,20,NA,35643.85,235283.4153,143.1511313
PBS,20,NA,NA,63350.70974,3294.478627
PBS,20,NA,NA,43128.75691,1509.226415
PBS,20,NA,NA,66763.87845,2215.110701
PBS,20,NA,NA,33690.33311,929.6350999
PBS,20,NA,NA,120098.1217,3042.945691
PBS,20,NA,NA,92791.15913,694.9831759
PBS,20,NA,NA,32557.17134,780.8056872
RSV,20,4.7546E-08,18007.71,225824.5867,4029.548686
RSV,20,2.3833E-08,22998.23,310427.2017,13328.17337
RSV,20,1.1239E-07,30015.39,316773.2679,19484.84192
RSV,20,7.9189E-09,57255.54,525522.658,21387.858
RSV,20,9.1389E-08,35059.75,398665.7502,4869.455876
RSV,20,8.1296E-08,14639.83,819078.4326,6666.220219
RSV,20,1.5693E-08,83372.67,357917.4667,2077.17825
RSV,20,NA,NA,149496.9335,1231.114078
RSV,20,NA,NA,242286.3634,5050.245495
RSV,20,NA,NA,192862.918,4837.47399
RSV,20,NA,NA,158829.5316,2349.284369